Node,Community,X,Y
Attila Turzo,3,-3.1821240455745294,0.6324351030596547
Barad Yeganegi,3,-5.969884204188265,4.091227591555514
Barnabas Kovacsy,3,-3.8125230599432056,1.5251821945193438
Ben Finegold,3,-6.871483349768019,5.028920711321551
Bibisara Assaubayeva,3,-1.5870333209239986,-1.1175115288443365
Chris L Chambers,3,-3.854445697695632,1.5038442412087145
Cptn2,3,-5.14805759137959,3.136286253861687
Daniel Girsh,3,-5.1390419669198355,3.0663139257854195
Dimitar Mardov,3,-4.2091494816889865,1.81989284850349
Dimitris Alexakis,3,-1.9031613758075405,-0.7097105701405815
Dmitry Petukhov,3,-4.257181024886141,2.0119657455472804
Egor Baskakov,3,-1.1509092918244035,-1.5917826073867647
Eytan Rozen,3,-0.5788899298285366,-2.1916222556729426
Facundo Vazquez,3,-6.579103051947855,4.730194022658711
Garnik Nersesyan,3,-6.2753595935870194,4.36073820401954
Gellert Karacsonyi,3,-3.795957909903415,1.565803857941313
Gnel Melikyan,3,-6.3720243631791895,4.3506752657658705
Graham Horobetz,1,-0.402340695260995,-2.3677450882063176
Grigoriy Oparin,3,-5.672153378188221,3.398870730140633
Harika Dronavalli,3,-6.923517475062931,4.906634500330507
Hayk Yeritsyan,3,-4.247941119907464,1.8082448477687207
Hugo Wernberg,3,-2.720048022954214,0.24309709851251304
Itay Sitbon,3,-7.7215675366057015,6.065544525122679
Jaloliddin Ilkhomi,3,-6.925869724332997,5.154519563131758
Jan Jodilyn Fronda,3,-5.923957984166254,3.9620954458080986
Jeffinho023,3,-2.06515633084166,-0.6107666471000279
Joachim Mouhamad,3,-3.3709420327338293,1.0570117278268751
Juan Pablo Demaría,3,-3.5627993174741435,1.2048088210988548
Kaan Kucuksari,3,-6.434453726246353,4.5092425826116145
Kashish Jain,3,-2.1827937199865897,-0.4133711658638345
Khagan Ahmad,3,-4.939407054479314,2.7764000194994223
Konstantin Popov,3,-2.110771919320839,-0.48708962470365696
Lagmantr,3,-4.6484111577665965,2.402269500016766
Lefong Hua,3,-3.9494494259616513,1.5783001974067494
Lucas Cumpe,3,-5.862047465307254,3.883393210117422
Lucas Ranaldi,3,-7.137954107897286,5.250120519595326
Lázár Mátyássy,3,-4.991710175970966,2.940344311822611
Marcin Krzyżanowski,3,-5.34783488690471,3.1792494545091268
Mateu Boci,3,-5.051503283749923,3.0121630363227605
Mateusz Bartel,3,-2.064954448611739,-0.637285988905879
Maxime Lagarde,3,-3.1140067307954333,0.6721652884770323
Maximilian Mostbauer,3,-3.593707509702745,1.2084194890541369
Mikayel Mkrtchyan,3,-5.74841684108486,3.781331624486162
Miran Oganian,3,-2.860038773984987,0.3352578304885045
Mobina Alinasab,3,-1.9955461229653229,-0.6259492662204208
Narek Ghimoyan,3,-4.308258006813873,1.9505529060344322
Nikita Khoroshev,3,-3.696148853768438,1.3580853800421289
Nikita Matinian,3,-2.5250657610899134,-0.18351505794685935
Nisim Iliaguev,3,-6.524817718634866,4.46190079802328
Oleg Vastrukhin,3,-3.044149718990578,0.42486866577186183
