,CenterControlScore,PieceActivityScore,KingSafetyScore,CastlingScore,KingTropismScore,KingDefendersScore,KingPawnShieldScore,KingZoneControlScore,KingDiagonalExposureScore,KingEscapeSquaresScore,CaptureRatio,PawnCenter,AveragePawnAdvanceDepth,CheckRatio,ForceRatio,PawnIsolateScore,PawnOverlapScore,PawnProtectScore,queen_1LifeRatio,rook_1LifeRatio,rook_2LifeRatio,bishop_1LifeRatio,bishop_2LifeRatio,knight_1LifeRatio,knight_2LifeRatio,pawn_1LifeRatio,pawn_2LifeRatio,pawn_3LifeRatio,pawn_4LifeRatio,pawn_5LifeRatio,pawn_6LifeRatio,pawn_7LifeRatio,pawn_8LifeRatio,queen_promo_1LifeRatio,queen_promo_2LifeRatio,queen_promo_3LifeRatio,queen_promo_4LifeRatio,queen_promo_5LifeRatio,queen_promo_6LifeRatio,queen_promo_7LifeRatio,queen_promo_8LifeRatio,Name,ELO
125,19.80978323219641,184.74463276712171,-68.10518970173598,-16.258866193095777,-11.17788270276127,4.0,-7.180794650462909,-39.059015729305486,-10.793465392279295,12.364834966168756,0.21200000000000002,0.4042,21.8,0.0631,0.0087,0.0951599344729894,-0.13157918548781355,1.4566533434417943,0.6557396744337296,0.7690602325643169,0.8309444323799621,0.44787629133715806,0.5430137285939161,0.5624673059565063,0.47254314074010006,0.920048707585899,0.8401106224176995,0.835257331074169,0.5920372963668741,0.3633949321004828,0.4849711826630352,0.7539491417872125,0.7587149155458894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
384,19.763093627234262,171.47549740065128,-50.391527627238176,-16.334952251411714,-12.166059722849402,4.0,-0.9483888769595058,-27.64254479544319,-10.463008984296614,13.163427003722244,0.2213,0.39749999999999996,19.8,0.057300000000000004,0.0019,0.09430360151189256,-0.3718145999948927,1.8087959560132394,0.5869889544050103,0.9216327108092812,0.8606733759886251,0.546650024128619,0.4663204730863212,0.6050522499745399,0.6330753418465564,0.9036361063950199,0.9662662090007628,0.9033621990960429,0.7257657119263763,0.3786103687239918,0.607713625259483,0.7265393686043953,0.7749757270944104,0.0032258064516128998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
382,19.990871915805133,171.05464702555184,-53.18017411319702,-15.627905829029146,-10.175522373466485,4.0,-2.9949555085123514,-30.66444748182902,-10.696394557761193,12.979051637401176,0.23360000000000003,0.4582,18.4,0.0513,0.0045,0.08227931407426345,-0.14278384092337576,1.6809492626163045,0.6919077907047819,1.0,0.6674213302055843,0.6550492235676548,0.5611381788356884,0.6063412801995575,0.49332390052789543,0.9160297785793776,0.9527777777777778,0.820950604779721,0.7136986818795463,0.4869046845267023,0.3864305118505469,0.7242417587282292,0.8285255366968922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
381,20.820187584738775,187.85028456038273,-48.29303946409258,-14.77161345744796,-9.997485462227212,4.0,-0.45526347191845085,-28.4384468188816,-9.895154611634274,11.264924358016925,0.19870000000000002,0.4178,17.4,0.057999999999999996,0.0077,0.1191127129065418,-0.13011471931528032,2.001996561954486,0.738385130087776,1.0,0.7844845508050685,0.7323360509210329,0.5746413771092216,0.540563059431767,0.6930350705449492,0.9247925716127217,0.9307971014492754,0.8881485282549821,0.7110383323317881,0.5529218147126547,0.5081571660949246,0.8413806386604161,0.8280097196574253,0.00434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
380,18.93893648018648,178.504031019196,-64.8165432881568,-15.692411553853447,-12.37181249886,3.9972222222222222,-9.477300082151231,-33.86574031141823,-10.714966648010048,13.308465583913934,0.2151,0.39890000000000003,18.9,0.0392,0.0008,0.1563396333859031,-0.47346567867012623,2.0019321048392067,0.749830486542443,0.9072128873766931,0.7658077607659598,0.6941643940067299,0.5636371839564719,0.49574302125421993,0.6244096275380988,0.8579499299719888,0.9301389786683905,0.886925137948156,0.7810882040334095,0.5528598799797148,0.6300589886533212,0.630884576081231,0.7769442875964615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
379,20.29930665243888,184.24456839296386,-64.29205533780463,-16.202795241885322,-11.868576940483418,3.994871794871795,-4.775482117463249,-36.02439425810546,-10.75517254386244,11.339493969123458,0.22119999999999998,0.41879999999999995,16.7,0.09140000000000001,0.0134,0.19553173914631614,-0.3611903108388196,1.6556682894380703,0.7100202881836426,0.782168430242735,0.7700963539691414,0.6724936118746518,0.8177108013048429,0.5517531304297298,0.5735905860791168,0.9073252551376767,0.9229653842930181,0.8674134215735687,0.5652443072599539,0.3201133109282287,0.431803786678728,0.9477358490566038,0.9018292682926831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
378,19.022221665232127,170.32789057682047,-65.51848143908434,-16.698270343808936,-11.902421096825737,4.0,-4.72808831522291,-36.65397714195602,-11.029960280803937,11.49423573953321,0.2057,0.4194,14.8,0.0432,0.0045,0.046194179658428,-0.18499429792256056,1.7258048711520928,0.6347029387114081,0.9146205632093036,0.794164459724175,0.6581171999562682,0.7191222314165362,0.5637984527590074,0.5738197195999266,0.8097496901952065,0.8801610571752898,0.8080859735662145,0.6305323898663024,0.3789508674591768,0.49512739687496693,0.6569733893555114,0.8845475277841748,0.00082644628099173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
377,18.98470466521354,178.7584473887606,-61.162690755085464,-17.547708597472102,-11.050286208451334,3.9976470588235293,-3.919631706506596,-35.66670363664598,-11.119453984664265,14.143446319831279,0.192,0.40540000000000004,25.4,0.06559999999999999,0.016900000000000002,0.2036468623735725,-0.2412461784181814,1.6486274350315817,0.6835702034745591,0.8967295704408931,0.7828348768205529,0.48578668830744187,0.42724942207286787,0.4693361138018717,0.5904300018393362,0.7691276234595177,0.9010602469425999,0.8271387681925269,0.545647471655442,0.48582203634807897,0.4644309899563452,0.6416089652951908,0.681302033889262,0.0005882352941176401,0.0005882352941176401,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
383,19.388988452221113,196.45316237638804,-59.251299310791275,-16.17614895649051,-12.689226498262643,4.0,-4.125248658004718,-30.98670903353039,-10.141911783445215,10.867945618942198,0.2156,0.41900000000000004,17.9,0.052000000000000005,0.0015,0.049249718710500864,-0.16652896255730457,2.0046745680201825,0.808489466089466,0.879139218269653,0.8310325731105603,0.6800400272006808,0.7439492399153322,0.6144956409413613,0.5653665680360106,0.9535802469135802,0.9587061728395063,0.9128296296296297,0.5733902874041484,0.42528583084645427,0.5774275247231222,0.7536561348737449,0.8163512770192449,0.01728395061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
376,19.984129507717064,188.87642315075266,-59.97511363965435,-16.208130548407045,-11.708972171206426,4.0,-4.842359717428842,-31.397999531190777,-11.347332000053198,11.529680328631942,0.22149999999999997,0.42490000000000006,16.7,0.0506,0.008400000000000001,-0.02959920911994644,-0.5536290112004398,1.843170373916918,0.7403117106261436,0.8706514837819185,0.7694084437898872,0.6704876049129747,0.5449481251437772,0.5158526680003596,0.6729476825198475,0.9505555555555555,0.8742837506136475,0.8455973108601974,0.7668138531372507,0.5566408497042741,0.47955283319200837,0.6494823195132473,0.901074074074074,0.01923809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander Donchenko,2919.0
