Name,Solid_Style_Prob,Solid_Style_Score
Andrés Delgado,0.6214011203761922,0.692
Andy Woodward,0.05183312305867258,0.013
Angel Gabriel Cordoba Roa,0.7513269494457566,0.8386
Angie Garcia,0.37715439475761264,0.3551
Anil Berk Erdogan,0.5427884690578654,0.5911
Anish Giri,0.7977751718196109,0.885
Ankush Khandelwal,0.2590259602063833,0.2145
Anna Cramling,0.3003811158934331,0.2638
Anna Jakubowska,0.1962071480651257,0.1347
Anna Kubicka,0.23850492396588607,0.1881
Anna M. Sargsyan,0.15541785171383377,0.0998
Anna Shukhman,0.532166391752766,0.5748
Anna-Maja Kazarian,0.06805095836885272,0.0226
Anthony Atanasov,0.3093568642576702,0.2761
Anthony Wirig,0.7768313949687096,0.866
Antoine Bournel,0.34788584466409256,0.3213
Anton Barash,0.35060562040384796,0.3243
Anton Demchenko,0.5949769241652502,0.662
Anton Isajevsky,0.54775599722147,0.597
Anton Karpenko,0.5639675597567214,0.6212
Anton Korobov,0.34312896034602647,0.3139
Anton Vasilenok,0.28604720957018337,0.2482
Antoni Kozak,0.5076359857209215,0.541
Antoni Szustakowski,0.14221479267814247,0.0902
Antonin Ferey,0.316426220605332,0.2831
Antonio Arencibia,0.2739445591805278,0.2349
Antonio Carlos Bambino Filho,0.48254203658024275,0.505
Antonio Lopez Del Alamo,0.38493161279308813,0.364
Antonio Naranjo Moreno,0.4235508224236687,0.4152
Antonio Pedro Freixial Vasques,0.45308480701361054,0.4579
Antonio Ruperez Benito,0.6758736654196218,0.7581
Antonios Gkavardinas,0.8033192360001197,0.8924
Anusha Subramanian,0.18345679420479924,0.1262
Anysia Thomas,0.4140213195363577,0.4045
ApacheSVD,0.529585733493336,0.5718
Apoorv Kamble,0.19605167624268416,0.1343
AradNazari,0.6149657564837432,0.6839
Aradhya Garg,0.9647761589386844,0.9937
Aram Hakobyan,0.8520485509972671,0.9288
Aran Köhler,0.45062307885269914,0.4549
Arash Tahbaz,0.6187684838922981,0.6883
Aravindh Chithambaram,0.4099172497894263,0.3989
Aref Vasli,0.7831315074632957,0.8735
Ari Guz,0.29468582261300824,0.2579
Ari Kiremitciyan,0.8744983802126702,0.9443
Arian Baradaran Tamadon,0.11347132857799191,0.0646
